gate	condition	current_state	classification	release_effect
RG-01	Normalize duplicate ledger block and Function-37 overlap under audit	Open	ADDITIONAL INVESTIGATION REQUIRED	Blocks normative machine-countable ledger release
RG-02	Publish exact baseline/strict/profile applicability for all 50 pending lines	Open	POLICY PENDING	Blocks unambiguous conformance claim
RG-03	Execute conformance pilot and preserve complete I059 results	Open	ADDITIONAL INVESTIGATION REQUIRED	Blocks demonstrated objective certification
RG-04	Obtain cross-implementation differential evidence	Open	ADDITIONAL INVESTIGATION REQUIRED	Blocks high-confidence portable/de facto distinction
RG-05	Define processor compatibility baseline/profile	Open	ADDITIONAL INVESTIGATION REQUIRED	Blocks broad historical ecosystem claim
RG-06	Expand missing software categories	Open	ADDITIONAL INVESTIGATION REQUIRED	Blocks broad corpus-validated endorsement; not narrow baseline
RG-07	Complete paired communications and matching hardware tests	Open	POLICY PENDING	Blocks only those optional profiles
RG-08	Create immutable release evidence/result manifest	Open	POLICY PENDING	Blocks auditable release bundle
RG-09	Core public semantic boundary coverage	Satisfied	RELEASE READY	Allows draft/review-candidate baseline specification
RG-10	No conflicting duplicate classifications	Satisfied	RELEASE READY	No semantic contradiction blocker found
