entry	compatibility_requirement	evidence_source	responsible_boundary	validation_method	classification	responsibility_rule
0001	.COM load origin	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0002	Transient entry point	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0003	TPA lower boundary	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0004	TPA upper-bound discovery	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0005	Warm-start gateway at 0000h	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0006	IOBYTE location	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0007	Command-entry default-drive byte	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0008	BDOS gateway at 0005h	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0009	Reserved restart/interrupt region roles	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0010	CBIOS scratch-area role	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0011	First default FCB location	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0012	Second default FCB at 006Ch	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	POLICY PENDING	Profile/policy ownership provisional; test diagnostic until selected
0013	Default FCB drive-prefix parsing	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0014	Default FCB wildcard expansion	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
0015	Default FCB case and padding	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Transient runtime / memory boundary	MEM-001,MEM-005,CCP-003	REQUIRED	Preserve external observation; internal realization remains free
