entry	compatibility_requirement	evidence_source	personality_responsibility	validation_method	classification	delegation_boundary
0001	.COM load origin	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0002	Transient entry point	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0003	TPA lower boundary	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0004	TPA upper-bound discovery	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0005	Warm-start gateway at 0000h	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0006	IOBYTE location	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0007	Command-entry default-drive byte	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0008	BDOS gateway at 0005h	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0009	Reserved restart/interrupt region roles	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0010	CBIOS scratch-area role	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0011	First default FCB location	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0012	Second default FCB at 006Ch	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Profile-gated CP/M-visible obligation if selected	MEM-001,MEM-005,CCP-003	POLICY PENDING	Profile may select provider/mechanism; applicability must be declared
0013	Default FCB drive-prefix parsing	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0014	Default FCB wildcard expansion	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0015	Default FCB case and padding	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0016	Default FCB unopened control fields	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Profile-gated CP/M-visible obligation if selected	MEM-001,MEM-005,CCP-003	POLICY PENDING	Profile may select provider/mechanism; applicability must be declared
0017	Command-tail count location	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0018	Command-tail character location	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0019	Leading blank in command tail	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Profile-gated CP/M-visible obligation if selected	MEM-001,MEM-005,CCP-003	POLICY PENDING	Profile may select provider/mechanism; applicability must be declared
0020	Uppercase command-tail representation	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Profile-gated CP/M-visible obligation if selected	MEM-001,MEM-005,CCP-003	POLICY PENDING	Profile may select provider/mechanism; applicability must be declared
0021	NUL after counted command tail	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Profile-gated CP/M-visible obligation if selected	MEM-001,MEM-005,CCP-003	POLICY PENDING	Profile may select provider/mechanism; applicability must be declared
0022	Bytes following command-tail terminator	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Excluded from CP/M personality contract	MEM-001,MEM-005,CCP-003	NOT REQUIRED	No personality or provider structure constrained
0023	Default DMA address	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0024	Command-tail/default-DMA overlap	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
0025	Program termination through JMP 0000h	001 - CP/M 2.2 Transient Program Entry Environment; I052 MEM-001,MEM-005,CCP-003	Expose required CP/M CPU/memory/entry/lifecycle view	MEM-001,MEM-005,CCP-003	REQUIRED	Execution and memory backing may be delegated without changing visible address/state semantics
