id	requirement	evidence_source	classification	conformance_category	validation_method
S055-01	COM images load contiguously from 0100h and begin there	A IG/AG; I001,I022,I028,I053	REQUIRED	Baseline CP/M 2.2	MEM-001,CCP-006 plus corpus executable
S055-02	Documented page-zero WBOOT/BDOS gateways, FCBs, tail/DMA and configured ceiling retain their meanings	A IG/AG; B DRI tools; I001,I023,I041,I053	REQUIRED	Baseline CP/M 2.2	MEM-001,CCP-003,BIOS-001
S055-03	BDOS Functions 0-40 implement the ledger-defined call/result and side-effect contract	A IG/AG; B DRI BDOS; I002-I017,I025-I027,I037	REQUIRED	Baseline CP/M 2.2	BDOS-CALL/CON/STATE/FILE suites
S055-04	CCP acquisition, parsing, resident commands, transient lookup/load and lifecycle match the ledger	A IG/AG; B DRI CCP; I021-I024,I028,I032,I047,I053	REQUIRED	Baseline CP/M 2.2	CCP-001 through CCP-008
S055-05	FCB/DMA directory and file operations preserve the externally visible record, extent, namespace and persistence semantics	A IG/AG; B DRI BDOS; I008-I014,I029-I031,I053	REQUIRED	Baseline CP/M 2.2	BDOS-FILE-001 through 012
S055-06	Configured BIOS jump table, boot, character and logical-sector disk services implement the documented ABI	A AG; B CBIOS; I018-I020,I035-I040	REQUIRED	Baseline plus declared platform	BIOS-001,002,004,005,006
S055-07	Documented logical failures and selected recovery paths preserve their classified outcomes	A IG/AG; B DRI; I015,I025,I033,I044	REQUIRED	Baseline CP/M 2.2	ERROR-001 through 004 as applicable
S055-08	Normal BDOS word returns establish A=L and B=H	B DRI; I002,I027	REQUIRED	Baseline CP/M 2.2	BDOS-CALL-001 register sentinels
S055-09	Standard DRI SUBMIT/XSUB observable protocol operates in the strict ecosystem claim	B DRI CCP/SUBMIT/XSUB; I042,I047,I048,I054	REQUIRED	Strict community ecosystem	CCP-008 deterministic submitted-input workflow
S055-10	Application-owned TPA is writable and executable, including self-modification	A memory ownership; B debugger/tool practice; I043,I048,I054	REQUIRED	Strict community ecosystem	MEM-003 at multiple valid placements
S055-11	IOBYTE routing, terminal behavior and logical devices are required only as selected and advertised	A/B/I018,I038-I039,I049-I050; D profile choice	POLICY PENDING	Optional terminal/device profile	BIOS-003,APP-001,COMM-001/002
S055-12	Exact console column, pending-key, editing and presentation edges are profile decisions where ledger marks them pending	B DRI; I003-I006,I016; D	POLICY PENDING	Optional strict-console profile	BDOS-CON-001 through 005 diagnostic variants
S055-13	Named direct-port, memory-mapped display, controller and peripheral behavior is confined to matching hardware profiles	B vendor software; I040,I050-I051,I053; D	POLICY PENDING	Hardware-profile compatibility	BIOS-007,COMM-004,HW-001 through 003
S055-14	Successful peer communications, timing and carrier behavior require a named endpoint/serial profile	I050,I053 gap; D	POLICY PENDING	Optional communications profile	COMM-002/003 paired endpoint tests
S055-15	Private addresses, stacks, tables, call graphs, caching, allocation algorithms and host mechanisms are not conformance criteria	B source; I041,I045,I054	NOT REQUIRED	Unsupported implementation detail	Structural review plus public-interface substitution
S055-16	Exact vendor diagnostics, UI, banners and emulator shutdown text are not baseline OS requirements	B/I047-I054	NOT REQUIRED	Unsupported presentation assumption	Accept semantic outcome with varied presentation
S055-17	Exact entry residue, unspecified registers/flags, reserved bytes, failed-call state, physical order and allocation choice may vary	A silence; B/I001-I054	NOT GUARANTEED	Permitted variability	Negative/variant tests from I052 coverage
S055-18	Calling private BDOS targets or absent machine hardware has no portable baseline result	B/I041,I050-I054	NOT GUARANTEED	Outside portable claim	MEM-006 and isolated unsupported-profile traps
S055-19	A compatibility claim names baseline, strict ecosystem additions and every enabled optional/hardware profile	I046,I052-I054; D for selection	REQUIRED	Claim-format requirement	Manifest-to-test applicability audit
S055-20	Every applicable proposition maps to deterministic evidence and a regression test; pending tests do not fail an unselected profile	I052 traceability; I053-I054 validation	REQUIRED	Evidence/conformance process	652-row map and 62-test inventory audit
