ledger_entry	case_id	case_version	oracle_id	oracle_version	parent_test_id	executable	module_case	requirement	classification	applicability	rc1_dependencies	selected_profile_ids	safety_class	required_fixture	implementation_status	proposed_reuse
0001	MEM-001-P0001	1.0.0	OR-0001	1.0.0	MEM-001	ENTRYTST.COM	ENT-001	.COM load origin	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0002	CCP-003-P0002	1.0.0	OR-0002	1.0.0	CCP-003	CCPTEST.COM	CCP-001	Transient entry point	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0003	MEM-001-P0003	1.0.0	OR-0003	1.0.0	MEM-001	ENTRYTST.COM	ENT-002	TPA lower boundary	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0004	CCP-003-P0004	1.0.0	OR-0004	1.0.0	CCP-003	CCPTEST.COM	CCP-002	TPA upper-bound discovery	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0005	MEM-001-P0005	1.0.0	OR-0005	1.0.0	MEM-001	ENTRYTST.COM	ENT-003	Warm-start gateway at 0000h	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0006	MEM-005-P0006	1.0.0	OR-0006	1.0.0	MEM-005	ENTRYTST.COM	ENT-004	IOBYTE location	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0007	CCP-003-P0007	1.0.0	OR-0007	1.0.0	CCP-003	CCPTEST.COM	CCP-003	Command-entry default-drive byte	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0008	MEM-001-P0008	1.0.0	OR-0008	1.0.0	MEM-001	ENTRYTST.COM	ENT-005	BDOS gateway at 0005h	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0009	MEM-005-P0009	1.0.0	OR-0009	1.0.0	MEM-005	ENTRYTST.COM	ENT-006	Reserved restart/interrupt region roles	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0010	CCP-003-P0010	1.0.0	OR-0010	1.0.0	CCP-003	CCPTEST.COM	CCP-004	CBIOS scratch-area role	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
