run_id	test_id	ledger_entries	claim_level	profiles	classification	result	expected_observation	actual_observation	fixture_hashes	artifact_links	environment	repetition	failure_classification	reviewer
I062-DRI-MEM001	MEM-001	0001-0033	development pilot	Z80; Cromemco Z-1; 64K; DRI CP/M 2.2	REQUIRED,POLICY PENDING,NOT GUARANTEED,NOT REQUIRED	PASS	Required entry environment present; incidental addresses ignored	0000h/0005h JMP gateways present; FCB/tail visible; valid RET; exact SP/targets treated as variation	probes/images-before/dri-cpm22.dsk	probes/transcripts/dri-pilot.txt; VECTOR41; ZERO41; EDGE43	z80pack 1.39/1.19; DRI CP/M 2.2	1		n/a automated
I062-CDOS-MEM001	MEM-001	0001-0033	development pilot	Z80; Cromemco Z-1; 64K; CDOS 2.58 application subset	REQUIRED,POLICY PENDING,NOT GUARANTEED,NOT REQUIRED	PASS	Required entry environment present; incidental addresses ignored	Gateways, FCB/tail, writable TPA and valid RET present; different SP/targets accepted	probes/images-before/cdos258.dsk	probes/transcripts/cdos258-pilot.txt; VECTOR41; ZERO41; EDGE43	z80pack 1.39/1.19; CDOS 2.58	1		n/a automated
I062-DRI-STATE001	BDOS-STATE-001	0413-0422 0517-0524	development pilot	Z80; Cromemco Z-1; 64K; DRI CP/M 2.2	REQUIRED,POLICY PENDING,NOT GUARANTEED,NOT REQUIRED	PASS	Version 22h and current drive/user follow requirements	BASE61 returned version 0022, drive 00, user 00	probes/images-before/dri-cpm22.dsk	probes/transcripts/dri-pilot.txt	z80pack 1.39/1.19; DRI CP/M 2.2	1		n/a automated
I062-CDOS-STATE001	BDOS-STATE-001	0413-0422 0517-0524	development pilot	Z80; Cromemco Z-1; 64K; CDOS 2.58 application subset	REQUIRED,POLICY PENDING,NOT GUARANTEED,NOT REQUIRED	PASS	Version 22h and current drive/user follow requirements	BASE61 returned version 0022, drive 00, user 00	probes/images-before/cdos258.dsk	probes/transcripts/cdos258-pilot.txt	z80pack 1.39/1.19; CDOS 2.58	1		n/a automated
I062-DRI-CALL001	BDOS-CALL-001	0034-0050 0525-0532	development pilot	Z80; Cromemco Z-1; 64K; DRI CP/M 2.2	REQUIRED,NOT GUARANTEED,NOT REQUIRED	BLOCKED	Selectors 0-40 and out-of-range cases satisfy aliases/stack rules	Selector 41 returned zero, but the pilot fixture did not exercise every selector 0-40 or every alias criterion	probes/images-before/dri-cpm22.dsk	probes/transcripts/dri-pilot.txt; STATE61	z80pack 1.39/1.19; DRI CP/M 2.2	1	fixture	n/a automated
I062-CDOS-CALL001	BDOS-CALL-001	0034-0050 0525-0532	development pilot	Z80; Cromemco Z-1; 64K; CDOS 2.58 application subset	REQUIRED,NOT GUARANTEED,NOT REQUIRED	FAIL	Selectors 0-40 and out-of-range cases satisfy aliases/stack rules	Selector 41 produced Illegal system call 29H and terminated the transient instead of returning zero	probes/images-before/cdos258.dsk	probes/transcripts/cdos258-pilot.txt; STATE61	z80pack 1.39/1.19; CDOS 2.58	1	product	n/a automated
I062-DRI-MEM003	MEM-003	0622	development pilot	Z80; Cromemco Z-1; 64K; DRI CP/M 2.2 strict writable-TPA profile	REQUIRED	PASS	Changed instruction operand executes from writable TPA	EDGE43 changed immediate operand to 5A and executed result 5A	probes/images-before/dri-cpm22.dsk	probes/transcripts/dri-pilot.txt	z80pack 1.39/1.19; DRI CP/M 2.2	1		n/a automated
I062-CDOS-MEM003	MEM-003	0622	development pilot	Z80; Cromemco Z-1; 64K; CDOS 2.58 strict writable-TPA profile	REQUIRED	PASS	Changed instruction operand executes from writable TPA	EDGE43 changed immediate operand to 5A and executed result 5A	probes/images-before/cdos258.dsk	probes/transcripts/cdos258-pilot.txt	z80pack 1.39/1.19; CDOS 2.58	1		n/a automated
I062-DRI-CCP007	CCP-007	0001-0008 0508-0511	development pilot	Z80; Cromemco Z-1; 64K; DRI CP/M 2.2	REQUIRED,POLICY PENDING,NOT GUARANTEED	PASS	RET, Function 0 and JMP 0000h restore command cycle	EDGE43 RET, ZRET43 RET-to-zero/JMP 0000h and FN043 Function 0 each reprompted	probes/images-before/dri-cpm22.dsk	probes/transcripts/dri-pilot.txt	z80pack 1.39/1.19; DRI CP/M 2.2	1		n/a automated
I062-CDOS-CCP007	CCP-007	0001-0008 0508-0511	development pilot	Z80; Cromemco Z-1; 64K; CDOS 2.58 application subset	REQUIRED,POLICY PENDING,NOT GUARANTEED	PASS	RET, Function 0 and JMP 0000h restore command cycle	EDGE43 RET, ZRET43 RET-to-zero/JMP 0000h and FN043 Function 0 each reprompted	probes/images-before/cdos258.dsk	probes/transcripts/cdos258-pilot.txt	z80pack 1.39/1.19; CDOS 2.58	1		n/a automated
I062-DRI-BIOS001	BIOS-001	0460-0467 0598	development pilot	Z80; Cromemco Z-1; 64K; DRI CP/M 2.2 full BIOS-visible claim	REQUIRED,POLICY PENDING,NOT GUARANTEED,NOT REQUIRED	PASS	Discoverable BIOS has 17 ordered JMP slots; targets may vary	BIOS41 derived FA00 and observed C3 in slots 00-10	probes/images-before/dri-cpm22.dsk	probes/transcripts/dri-pilot.txt; BIOS41	z80pack 1.39/1.19; DRI CP/M 2.2	1		n/a automated
I062-CDOS-BIOS001	BIOS-001	0460-0467 0598	development pilot	Z80; Cromemco Z-1; 64K; CDOS 2.58 full BIOS-visible claim	REQUIRED,POLICY PENDING,NOT GUARANTEED,NOT REQUIRED	FAIL	Discoverable BIOS has 17 ordered JMP slots; targets may vary	BIOS41 derived E800; slots 0F and 10 begin 79 and EE, not JMP C3	probes/images-before/cdos258.dsk	probes/transcripts/cdos258-pilot.txt; BIOS41	z80pack 1.39/1.19; CDOS 2.58	1	product	n/a automated
