boundary	owns_external_observation	interface_to_other_responsibilities	may_be_isolated_or_abstracted	must_not_be_inferred
Transient runtime / memory	0100h load/entry, page zero, TPA limits, writable/executable application storage, termination handoff	CCP provides launch state; BDOS/BIOS gateways remain valid	loader, memory backing, relocation and protection machinery when strict observations remain	fixed private placement, exact SP/residue, one memory implementation
CCP / command environment	command acquisition/parsing, resident commands, default FCB/tail preparation, lookup/load/return, SUBMIT stream	uses BDOS file/console services; hands state to transient runtime	command parser, loader and resident-command internals	exact private CCP layout, stack, prompt text unless profiled
BDOS public call	CALL 0005h dispatch, selector/input/results, stack-balanced returning calls	coordinates console, state, file and BIOS responsibilities	dispatch tables, stacks, locking, caching, host calls	DRI private target or call graph
BDOS console services	Functions 1,2,6,9,10,11 observable buffering/echo/control behavior	uses configured BIOS character paths; profile supplies terminal/device choices	buffer representation, editor algorithm, host terminal adaptation	private pending-byte storage and unselected exact presentation
BDOS system/disk state	current drive/user, login/read-only vectors, DMA selection, reset semantics	coordinates file services and configured BIOS disks	state storage and synchronization implementation	DRI private variables or invisible caching
BDOS file/directory/storage	FCB interpretation, directory search, sequential/random I/O, extents, namespace, allocation-visible persistence	uses logical disk services and owns application-visible file semantics	internal directory cache, allocation algorithm, host filesystem/media representation	exact physical slot/block choice unless profile requires it
BIOS configured platform	jump table, boot, raw character services, logical-sector disk ABI, DPH/DPB/translation	serves BDOS; named platform/profile provides physical devices	device drivers, emulator/host integration, physical media implementation	one numeric BIOS address or universal hardware set
Cross-layer error/recovery	classification and propagation of logical/physical failures, promised restart/reset/reopen state	spans caller, CCP, BDOS, BIOS and storage mutation boundaries	fault detection and internal unwind/retry mechanism	exact private handler, rollback or diagnostic unless selected
Profile/claim selection	activates optional terminal, device, communications, error, extension and hardware obligations	determines applicability across all responsibility boundaries	manifest/storage mechanism for profile selection	silent activation or universalization of named hardware behavior
Validation/evidence	maps observable responsibilities to deterministic tests and preserved evidence	cross-cuts every boundary without owning runtime semantics	test runner, instrumentation and artifact tooling	test architecture as operating-system architecture
