id	feature_category	compatibility_impact	evidence_source	isolation_requirement	validation_method	compatibility_classification
E058-01	Internal performance optimization	Neutral only if no required timing/state/result changes	I052-I057 requirement/test mapping	Remain behind personality; preserve every applicable observation	Full applicable regression and corpus differential	NOT REQUIRED feature; REQUIRED preservation
E058-02	Internal caching/buffering	Can alter visibility, ordering, close persistence or media-change behavior	I008-I015,I017,I030,I033	Do not expose stale/delayed state beyond ledger; fault behavior remains classified	BDOS-FILE,BDOS-STATE,ERROR suites with image diffs	NOT REQUIRED mechanism; REQUIRED preservation
E058-03	Alternate host/backing storage	Neutral beneath CP/M logical semantics; high risk if host names/order/errors leak	I008-I014,I029-I031,I040	Translate behind FCB/DMA/record/extent/user/disk-profile boundary	All BDOS-FILE plus BIOS-004/006 and error tests	NOT REQUIRED mechanism; REQUIRED preservation
E058-04	Host terminal/device adaptation	Neutral beneath BIOS/raw and BDOS/formatted boundary	I003-I006,I016,I018,I038-I039	Prevent host editing, encoding, buffering and controls from replacing CP/M behavior	BDOS-CON-001..005,BIOS-002/003	NOT REQUIRED mechanism; REQUIRED preservation
E058-05	Internal reliability/redundancy	Neutral on success; may alter visible partial-failure/retry state	I015,I033,I044	Keep selected CP/M error/recovery and mutation boundary; extra recovery cannot contradict tests	ERROR-001..005 and storage fault injection	NOT REQUIRED mechanism; REQUIRED preservation
E058-06	External management/telemetry/diagnostics	Neutral when invisible to CP/M memory, files, console, timing and devices	I045,I055-I057	Out-of-band by default; no CP/M namespace/state consumption unless profiled	Full suite plus sentinel checks for memory/files/console	NOT REQUIRED
E058-07	Private extra metadata	Neutral if not surfaced in directory/FCB/order/size/attributes	I009,I012-I014,I029-I031	Keep metadata outside CP/M-visible records or define separate opt-in interface	BDOS-FILE-003/006/007/008/010 image and DMA checks	NOT REQUIRED; POLICY PENDING if visible
E058-08	Separate non-CP/M shell or UI	Neutral outside CP/M command environment	I021-I024,I032,I047,I053	Explicit entry/exit and restored CP/M state; do not alter CP/M parser/search rules	CCP-001..007 before/after transition	NOT REQUIRED
E058-09	Additional commands in CP/M command namespace	May change lookup, failure, parsing or resident/transient precedence	I021-I023,I032	Opt-in profile or separate namespace; baseline command cycle unchanged	CCP-001..007 and utility workflows	POLICY PENDING
E058-10	Additional BDOS selectors	Visible collision with required out-of-range-zero and reserved-selector behavior	I002,I027,I037,I046	Separate opt-in gateway/profile or preserve baseline selector observations	BDOS-CALL-001 across 0-40, reserved and out-of-range selectors	POLICY PENDING; REQUIRED baseline preservation
E058-11	Extended filenames/paths/current directories	Would change FCB parsing, lookup, namespace and error behavior	I008,I021-I023,I029,I031	Separate API/personality/profile; never transparently reinterpret CP/M FCB names	CCP-002/005,BDOS-FILE-001/003/010	POLICY PENDING; REQUIRED baseline preservation
E058-12	Larger files/records or non-CP/M extent semantics	Would change 128-byte DMA, random range, extent and size behavior	I010-I013,I030,I037	Separate interface/profile; baseline FCB/DMA view remains exact	BDOS-FILE-004/005/008/011/012	POLICY PENDING; REQUIRED baseline preservation
E058-13	Transparent text/Unicode/line-ending conversion	Would corrupt byte-transparent storage and CP/M text conventions	I003,I006,I042,I047-I050	No transparent conversion in CP/M file/console paths; opt-in external conversion only	Binary/text corpus hashes, BDOS file and console tests	REQUIRED preservation; feature NOT REQUIRED
E058-14	Multitasking/background mutation	May change global drive/user/DMA/directory/device and timing observations	I007,I009,I017,I026,I031,I045	Isolate per declared personality semantics or require explicit non-baseline mode	State/search/file/console interleaving regression	POLICY PENDING
E058-15	Memory protection	May break page-zero hooks, overlays, self-modification and direct BIOS discovery	I041-I043,I048,I054,I057	Strict profile preserves required writes/execution; protected mode must be separately declared	MEM-001..006,CCP-008,UTIL-004	POLICY PENDING; REQUIRED strict preservation
E058-16	Additional memory/banking	Can be neutral outside visible CP/M map; visible changes affect ceiling/pointers/overlays	I001,I022,I028,I034,I043	Baseline page-zero/TPA/ceiling unchanged; expose extension only through separate profile/interface	MEM-001..005,CCP-006	POLICY PENDING if visible
E058-17	Additional devices/network services	Neutral if outside CP/M routes; visible additions affect IOBYTE/BIOS/BDOS semantics	I018,I038-I039,I050-I051	Named device/communications profile or separate interface	BIOS-002/003/007,COMM-001..004	POLICY PENDING
E058-18	Structured or extended error reporting	Can change fatal/return/console behavior and application recovery	I015,I025,I033,I044	Out-of-band or opt-in extension; baseline results/presentation profile preserved	ERROR-001..005 and application failure corpus	POLICY PENDING
E058-19	Timestamps/extra attributes	Visible directory/FCB changes may collide with reserved bits and ordering	I009,I012,I014,I030-I031	Keep outside baseline directory entries or activate named media/filesystem profile	BDOS-FILE-003/006/007/010/011	POLICY PENDING
E058-20	Security/access-control enforcement	May turn formerly permitted CP/M reads/writes/vector access into failures	I014,I041-I043,I054,I057	Separate protected personality/profile; strict CP/M behavior remains available where claimed	Read-only/file suite,MEM-003/006,CCP-008	POLICY PENDING
E058-21	New disk/media formats	Safe only through a coherent configured BIOS/profile; raw layout is not universal	I017,I019,I040,I051	Named disk profile with DPH/DPB/translation and direct-caller rules	BIOS-004/006,BDOS-FILE corpus	POLICY PENDING hardware/media profile
E058-22	Processor instruction/timing extensions	May help software but can expose non-baseline CPU behavior/timing	I042,I051,I053-I055	Named processor profile; no universal CP/M claim from one emulator	MEM/utility/application corpus plus named instruction probes	POLICY PENDING
E058-23	Direct hardware emulation	Required only for declared machine profile; mismatch is not baseline defect	I040,I050-I053	Named port/MMIO/controller profile, isolated from portable CP/M claim	BIOS-007,COMM-004,HW-001..003	POLICY PENDING / NOT GUARANTEED baseline
E058-24	Automatic path/search/user convenience	Would alter CCP lookup and user/drive namespace expectations	I021-I023,I031,I032,I053	Separate UI/profile; CP/M command search and namespaces unchanged	CCP-004/005,BDOS-FILE-010	REQUIRED preservation; feature NOT REQUIRED
E058-25	Enhanced prompts/messages/screen presentation	Usually neutral semantically but scripts/strict presentation may observe it	I003-I006,I015,I021,I032,I047-I054	Keep exact presentation outside baseline unless named strict/profile evidence selects it	Semantic transcript plus selected presentation-profile tests	NOT REQUIRED baseline / POLICY PENDING profile
E058-26	New non-CP/M API or application environment	Neutral only with explicit boundary and no collision/state leakage into CP/M personality	I055-I057; D extension selection	Separate invocation/namespace or opt-in gateway; restore coherent CP/M state on return	Full pre/post CP/M regression and corpus run	NOT REQUIRED feature; REQUIRED isolation
