id	title	origin	current	evidence reviewed	decision	applicability/profile	rationale	conformance impact
0012	Second default FCB at 006Ch	I001	POLICY PENDING	B/I: CCP, ENTRY001; I021/I023/I028; I055-I059	PROFILE REQUIRED	Strict DRI CCP/ecosystem	Observable and useful to two-operand transients, but not explicitly universal in the manuals.	Activate two-operand 005Ch/006Ch comparison only for the strict CCP profile.
0016	Default FCB unopened control fields	I001	POLICY PENDING	B/I: CCP and ENTRY001; I021/I027/I028	NOT GUARANTEED	Generic baseline	No documentary or software-dependency basis makes exact unopened scratch/control bytes portable.	Require filename/type parsing; accept variation in other unopened fields.
0019	Leading blank in command tail	I001	POLICY PENDING	A/B/I: tail convention, CCP, ENTRY001; I021/I023/I028	REQUIRED	Generic CP/M	The leading separator is part of the established transient command-tail interface and consequential to ordinary argument parsing.	Positive mixed-command test must require the leading counted blank.
0020	Uppercase command-tail representation	I001	POLICY PENDING	A/B/I: CCP command acquisition and ENTRY001; I021/I023/I028	REQUIRED	Generic CP/M	CP/M command acquisition presents canonical uppercase bytes and historical programs rely on that normalization.	Mixed-case acquisition test must verify uppercase tail bytes.
0021	NUL after counted command tail	I001	POLICY PENDING	B/I: CCP and ENTRY001; length-counted interface evidence	NOT GUARANTEED	Generic baseline	The public tail is length-counted; the extra NUL is convenient DRI residue without established dependency.	Tests must use the count and must not require or consume a terminator.
0069	Exact logical-column update rules	I003	POLICY PENDING	B: DRI BDOS; I003; I055-I059 profile analysis	PROFILE REQUIRED	DRI formatted-console profile	Exact bookkeeping affects formatted echo but is not generic console output semantics.	Profile test exercises the complete character-by-character column state machine.
0070	LF resets DRI logical column	I003	POLICY PENDING	B: DRI BDOS; I003	PROFILE REQUIRED	DRI formatted-console profile	This exact DRI rule is needed only when claiming its formatted-console behavior.	Profile test separates LF state change from emitted LF byte.
0071	CR does not reset DRI logical column	I003	POLICY PENDING	B: DRI BDOS; I003	PROFILE REQUIRED	DRI formatted-console profile	The surprising state rule is DRI-specific, observable through later TAB/echo, and unsuitable as a universal promise.	Profile test emits CR then probes later column-dependent output.
0072	Pending-key buffering during formatted output	I003	POLICY PENDING	B: DRI BDOS; no decisive ecosystem dependency	NOT GUARANTEED	Generic baseline	Timing-sensitive internal input consumption must not become portable state without stronger dependency evidence.	No baseline assertion about retained key or BIOS call count.
0073	Ctrl-C behavior after output pause	I003	POLICY PENDING	B: DRI BDOS; deferred timing experiment	NOT GUARANTEED	Generic baseline	The exact timing-sensitive sequence is incompletely evidenced and cannot be promised precisely.	Exclude exact post-pause timing/state from certification; retain diagnostic coverage.
0086	Exact function 11 ready result	I004	POLICY PENDING	A conflict: IG FFh; B/I: DRI 01h, DIO004; I027	NOT GUARANTEED	Generic baseline	Portable compatibility is the zero/nonzero predicate; choosing either conflicting exact nonzero value would reject valid practice.	Require zero when not ready and nonzero when ready; vary/accept exact nonzero.
0087	Function 11 pending-byte retention	I004	POLICY PENDING	B/I: BDOS and DIO004; I027	NOT GUARANTEED	Generic baseline	The retained-byte mechanism is observable but lacks significant portable-software dependency.	Do not assert retention or exact BIOS input-call count in baseline.
0088	DRI function 6 ignores retained pending byte	I004	POLICY PENDING	B/I: BDOS and DIO004; I027	NOT GUARANTEED	Generic baseline	This is an asymmetry of DRI's private buffering rather than the documented Function-6 contract.	Test Function 6's direct zero/nonzero input behavior without preconditioning on private retained state.
0103	Function-1 Ctrl-P printer-echo state change	I005	POLICY PENDING	A ambiguity; B/I: BDOS and IN005	PROFILE REQUIRED	DRI formatted-console profile	Exact Ctrl-P treatment matters for DRI console fidelity but is not unambiguous generic behavior.	Profile requires no toggle/no echo for Function-1 Ctrl-P.
0104	Function 1 consumes function-11-retained input	I005	POLICY PENDING	B/I: IN005 plus I004 retained-state evidence	PROFILE REQUIRED	DRI formatted-console profile	This cross-call behavior belongs with the optional DRI retained-input model.	Activate only with the profile; verify returned byte, echo, and BIOS call count.
0125	Function 10 Ctrl-P exclusion and printer-echo toggle	I006	POLICY PENDING	B/I: BDOS and BUF006; I027	PROFILE REQUIRED	DRI line-editor profile	It is a stable user-visible DRI line-editor convention, but the generic buffered-input contract does not require it.	Profile test separately requires exclusion from data and printer-echo toggle.
0126	Function 10 post-Ctrl-P echo state	I006	POLICY PENDING	B/I: BUF006 Ctrl-P/LIST	PROFILE REQUIRED	DRI line-editor profile	This follows the selected DRI Ctrl-P state model and should not leak into baseline.	Profile test verifies subsequent echo reaches LIST as selected.
0127	Function 10 seven-bit input masking	I006	POLICY PENDING	B: DRI BDOS; I006/I027	PROFILE REQUIRED	DRI line-editor profile	Seven-bit masking is appropriate for DRI terminal fidelity, not a universal byte-input promise.	Profile injects high-bit bytes; baseline leaves their treatment unspecified.
0128	Function 10 exact correction-display bytes	I006	POLICY PENDING	B/I: BUF006 captured display stream	PROFILE REQUIRED	DRI line-editor presentation profile	Exact editing display is presentation behavior and should be promised only by a named fidelity profile.	Byte-exact correction transcript is profile-gated.
0129	Function 10 noninitial Ctrl-C behavior	I006	POLICY PENDING	A/B tension; B: DRI BDOS	PROFILE REQUIRED	DRI line-editor profile	The DRI exception is valuable for fidelity but narrower than documented beginning-of-line abort behavior.	Profile test requires storage/display of noninitial Ctrl-C; baseline tests only documented initial Ctrl-C.
