oracle_id	oracle_version	ledger_entry	oracle_type	oracle	pass_fail_rule	classification	applicability
OR-0001	1.0.0	0001	positive predicate	A test program’s first loaded byte appears at 0100h.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0002	1.0.0	0002	positive predicate	A signature program begins execution at 0100h.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0003	1.0.0	0003	positive predicate	Memory below 0100h is not treated as ordinary transient program storage.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0004	1.0.0	0004	positive predicate	LHLD 0006h yields the advertised low resident boundary.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0005	1.0.0	0005	positive predicate	JMP 0000h performs warm-start semantics.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0006	1.0.0	0006	positive predicate	Where implemented, 0003h has the documented IOBYTE meaning.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0007	1.0.0	0007	positive predicate	At transient entry, 0004h contains the command environment drive. Function 25 is used to test live BDOS current drive state.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0008	1.0.0	0008	positive predicate	CALL 0005h invokes BDOS and returning services resume after the call.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0009	1.0.0	0009	positive predicate	BetterCP/M does not assign incompatible baseline meanings to documented restart/interrupt locations.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0010	1.0.0	0010	positive predicate	Software is not promised fixed contents in this area.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
