case_id	case_version	parent_test_id	ledger_entry	requirement	classification	applicability	oracle_id	oracle_version	oracle_type	oracle	evidence_requirement	pass_fail_rule	certification_impact	dependencies
MEM-001-P0001	1.0.0	MEM-001	0001	.COM load origin	REQUIRED	generic CP/M 2.2 baseline	OR-0001	1.0.0	positive predicate	A test program’s first loaded byte appears at 0100h.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
CCP-003-P0002	1.0.0	CCP-003	0002	Transient entry point	REQUIRED	generic CP/M 2.2 baseline	OR-0002	1.0.0	positive predicate	A signature program begins execution at 0100h.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BDOS public/file/console prerequisites used by case
MEM-001-P0003	1.0.0	MEM-001	0003	TPA lower boundary	REQUIRED	generic CP/M 2.2 baseline	OR-0003	1.0.0	positive predicate	Memory below 0100h is not treated as ordinary transient program storage.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
CCP-003-P0004	1.0.0	CCP-003	0004	TPA upper-bound discovery	REQUIRED	generic CP/M 2.2 baseline	OR-0004	1.0.0	positive predicate	LHLD 0006h yields the advertised low resident boundary.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BDOS public/file/console prerequisites used by case
MEM-001-P0005	1.0.0	MEM-001	0005	Warm-start gateway at 0000h	REQUIRED	generic CP/M 2.2 baseline	OR-0005	1.0.0	positive predicate	JMP 0000h performs warm-start semantics.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
MEM-005-P0006	1.0.0	MEM-005	0006	IOBYTE location	REQUIRED	generic CP/M 2.2 baseline	OR-0006	1.0.0	positive predicate	Where implemented, 0003h has the documented IOBYTE meaning.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
CCP-003-P0007	1.0.0	CCP-003	0007	Command-entry default-drive byte	REQUIRED	generic CP/M 2.2 baseline	OR-0007	1.0.0	positive predicate	At transient entry, 0004h contains the command environment drive. Function 25 is used to test live BDOS current drive state.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BDOS public/file/console prerequisites used by case
MEM-001-P0008	1.0.0	MEM-001	0008	BDOS gateway at 0005h	REQUIRED	generic CP/M 2.2 baseline	OR-0008	1.0.0	positive predicate	CALL 0005h invokes BDOS and returning services resume after the call.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
MEM-005-P0009	1.0.0	MEM-005	0009	Reserved restart/interrupt region roles	REQUIRED	generic CP/M 2.2 baseline	OR-0009	1.0.0	positive predicate	BetterCP/M does not assign incompatible baseline meanings to documented restart/interrupt locations.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
CCP-003-P0010	1.0.0	CCP-003	0010	CBIOS scratch-area role	REQUIRED	generic CP/M 2.2 baseline	OR-0010	1.0.0	positive predicate	Software is not promised fixed contents in this area.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BDOS public/file/console prerequisites used by case
