ledger_entry	requirement	classification	applicability	parent_test_id	case_id	oracle_id	certification_impact
0001	.COM load origin	REQUIRED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0001	OR-0001	A FAIL defeats baseline certification; BLOCKED prevents certification.
0002	Transient entry point	REQUIRED	generic CP/M 2.2 baseline	CCP-003	CCP-003-P0002	OR-0002	A FAIL defeats baseline certification; BLOCKED prevents certification.
0003	TPA lower boundary	REQUIRED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0003	OR-0003	A FAIL defeats baseline certification; BLOCKED prevents certification.
0004	TPA upper-bound discovery	REQUIRED	generic CP/M 2.2 baseline	CCP-003	CCP-003-P0004	OR-0004	A FAIL defeats baseline certification; BLOCKED prevents certification.
0005	Warm-start gateway at 0000h	REQUIRED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0005	OR-0005	A FAIL defeats baseline certification; BLOCKED prevents certification.
0006	IOBYTE location	REQUIRED	generic CP/M 2.2 baseline	MEM-005	MEM-005-P0006	OR-0006	A FAIL defeats baseline certification; BLOCKED prevents certification.
0007	Command-entry default-drive byte	REQUIRED	generic CP/M 2.2 baseline	CCP-003	CCP-003-P0007	OR-0007	A FAIL defeats baseline certification; BLOCKED prevents certification.
0008	BDOS gateway at 0005h	REQUIRED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0008	OR-0008	A FAIL defeats baseline certification; BLOCKED prevents certification.
0009	Reserved restart/interrupt region roles	REQUIRED	generic CP/M 2.2 baseline	MEM-005	MEM-005-P0009	OR-0009	A FAIL defeats baseline certification; BLOCKED prevents certification.
0010	CBIOS scratch-area role	REQUIRED	generic CP/M 2.2 baseline	CCP-003	CCP-003-P0010	OR-0010	A FAIL defeats baseline certification; BLOCKED prevents certification.
0011	First default FCB location	REQUIRED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0011	OR-0011	A FAIL defeats baseline certification; BLOCKED prevents certification.
0012	Second default FCB at 006Ch	PROFILE REQUIRED	the Strict DRI CCP/ecosystem	MEM-005	MEM-005-P0012	OR-0012	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0013	Default FCB drive-prefix parsing	REQUIRED	generic CP/M 2.2 baseline	CCP-003	CCP-003-P0013	OR-0013	A FAIL defeats baseline certification; BLOCKED prevents certification.
0014	Default FCB wildcard expansion	REQUIRED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0014	OR-0014	A FAIL defeats baseline certification; BLOCKED prevents certification.
0015	Default FCB case and padding	REQUIRED	generic CP/M 2.2 baseline	MEM-005	MEM-005-P0015	OR-0015	A FAIL defeats baseline certification; BLOCKED prevents certification.
0016	Default FCB unopened control fields	NOT GUARANTEED	generic CP/M 2.2 baseline	CCP-003	CCP-003-P0016	OR-0016	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0017	Command-tail count location	REQUIRED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0017	OR-0017	A FAIL defeats baseline certification; BLOCKED prevents certification.
0018	Command-tail character location	REQUIRED	generic CP/M 2.2 baseline	MEM-005	MEM-005-P0018	OR-0018	A FAIL defeats baseline certification; BLOCKED prevents certification.
0019	Leading blank in command tail	REQUIRED	generic CP/M 2.2 baseline	CCP-003	CCP-003-P0019	OR-0019	A FAIL defeats baseline certification; BLOCKED prevents certification.
0020	Uppercase command-tail representation	REQUIRED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0020	OR-0020	A FAIL defeats baseline certification; BLOCKED prevents certification.
0021	NUL after counted command tail	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-005	MEM-005-P0021	OR-0021	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0022	Bytes following command-tail terminator	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	CCP-003	CCP-003-P0022	OR-0022	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0023	Default DMA address	REQUIRED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0023	OR-0023	A FAIL defeats baseline certification; BLOCKED prevents certification.
0024	Command-tail/default-DMA overlap	REQUIRED	generic CP/M 2.2 baseline	MEM-005	MEM-005-P0024	OR-0024	A FAIL defeats baseline certification; BLOCKED prevents certification.
0025	Program termination through JMP 0000h	REQUIRED	generic CP/M 2.2 baseline	CCP-003	CCP-003-P0025	OR-0025	A FAIL defeats baseline certification; BLOCKED prevents certification.
0026	Program termination through BDOS function 0	REQUIRED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0026	OR-0026	A FAIL defeats baseline certification; BLOCKED prevents certification.
0027	RET termination	REQUIRED	generic CP/M 2.2 baseline	MEM-005	MEM-005-P0027	OR-0027	A FAIL defeats baseline certification; BLOCKED prevents certification.
0028	Valid entry return word	REQUIRED	generic CP/M 2.2 baseline	CCP-003	CCP-003-P0028	OR-0028	A FAIL defeats baseline certification; BLOCKED prevents certification.
0029	Exact entry SP	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	MEM-001	MEM-001-P0029	OR-0029	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0030	Exact entry return address	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	MEM-005	MEM-005-P0030	OR-0030	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
