id	compatibility_area	existing_investigation_coverage	evidence_reviewed	identified_gap	severity	recommended_action	classification
G060-01	Documented public interface families	I001-I040,I046	IG/AG A; DRI B; narrow probes I	No major public CCP/BDOS/BIOS/storage/memory interface family missing	None	Retain existing baseline mapping and test traceability	RELEASE READY
G060-02	CCP command/launch/lifecycle	I021-I024,I028,I032,I045,I047,I053	DRI CCP source and scripted workflows	Submission cancellation/malformed stream details remain narrower than ordinary command coverage	Low	Keep outside baseline 0620 scope; investigate only if strict-profile dependency emerges	RELEASE READY
G060-03	BDOS call Functions 0-40	I002-I017,I025-I027,I037,I045	Documentation, DRI source and register/state probes	No missing selector family; selected exact edge results remain policy entries	None	Use BDOS-CALL/CON/STATE/FILE tests	RELEASE READY
G060-04	Console edge behavior	I003-I006,I016,I038-I039,I046,I054	Instrumented BIOS/input tests and source	Exact pending-key, column, editing and presentation choices remain unresolved	Medium	Define optional strict-console profile or gather software dependency evidence	POLICY PENDING
G060-05	FCB/DMA/file/directory/storage	I008-I014,I017,I029-I031,I037,I040,I045	FCB/DMA captures, images, source and docs	Core semantics covered; physical order/residue correctly unguaranteed	None	Retain tests with alternative backing implementations	RELEASE READY
G060-06	BIOS ABI and configured platform	I018-I020,I035-I041,I045	Jump-table/disk/character probes and CBIOS source	Core configured ABI covered; named physical hardware fidelity remains profile-specific	None baseline / Medium profiles	Release baseline ABI; require evidence per named profile	RELEASE READY
G060-07	Memory/entry/execution/lifecycle	I001,I023-I024,I028,I034,I041-I043,I054	Memory snapshots, loader limits, self-modification and source	Processor instruction baseline/profile is not comprehensively specified	High ecosystem	Conduct processor/profile and historically significant instruction dependency study	ADDITIONAL INVESTIGATION REQUIRED
G060-08	Logical file errors	I011-I015,I025,I033,I044,I049	Return codes, application failure and image evidence	Core logical outcomes covered; selected exact codes/presentation remain pending	Low baseline	Keep exact presentation profile-gated	RELEASE READY
G060-09	Physical errors and late mutation	I015,I033,I044	Controlled fault injection and DRI handler review	Natural/late partial-transfer failures and some Delete/Rename/controller paths lack execution	High for physical-error claim	Conduct late/natural physical fault campaign with restored images	ADDITIONAL INVESTIGATION REQUIRED
G060-10	Cross-layer composition	I045,I047-I054	CROSS45, utilities/toolchains/apps and boundary traps	Healthy composition strong; asynchronous/background and late-fault composition sparse	Medium	Add targeted differential/fault composition after narrow studies	ADDITIONAL INVESTIGATION REQUIRED
G060-11	Standard utilities	I042,I047,I053	Full scripted DRI utility workflows	Representative standard set covered	None	Retain as strict-community acceptance	RELEASE READY
G060-12	Development toolchains	I042,I048,I053	ASM/MAC/RMAC/LOAD/LINK/DDT/SID workflows	No full high-level compiled-language toolchain beyond BASIC runtime	Medium ecosystem	Add rights-cleared compiler/runtime workflow	ADDITIONAL INVESTIGATION REQUIRED
G060-13	Applications	I049,I053	WordStar, BASIC/Wumpus, Adventure workflows	Spreadsheet, database, business, BBS and printer application classes absent	High ecosystem	Expand rights-cleared deterministic corpus before broad ecosystem release	ADDITIONAL INVESTIGATION REQUIRED
G060-14	Communications	I050,I053	Generic Kermit startup/no-peer/failure; logical device evidence	No successful paired send/receive, carrier loss or receive-side failure	High for communications profile	Conduct paired communications validation with controlled endpoint	ADDITIONAL INVESTIGATION REQUIRED
G060-15	Hardware-dependent software	I040,I051,I053	Portable control and QTERM/KSCOPE mismatch traps	Matching IMSAI/Dazzler/controller/peripheral profiles not validated	Medium optional	Do not claim profiles until matching evidence exists	POLICY PENDING
G060-16	Undocumented/de facto behavior	I041-I043,I046,I054	21-item inventory and fresh gateway/SUBMIT/self-modifying runs	No omitted high-evidence baseline behavior identified; rare dependencies remain unquantified	Low	Cross-implementation/corpus review may challenge exclusions	RELEASE READY
G060-17	Cross-implementation portability	I046 recommendation; mostly DRI/z80pack/Mostek evidence	DRI sources and two reference configurations	Insufficient differential evidence from independent CP/M-compatible implementations	High	Repeat selected NOT GUARANTEED/policy/public tests across materially different implementations	ADDITIONAL INVESTIGATION REQUIRED
G060-18	Ledger normative quality	I046,I052-I059	Mechanical 652-line/622-ID audits	Duplicate 0248-0277 block and overlapping Function-37 entries remain	Critical release artifact	Perform authorized normalization audit preserving stable identifiers and semantics	ADDITIONAL INVESTIGATION REQUIRED
G060-19	Contradiction review	I045-I046,I052-I060	Duplicate/disposition audit	No conflicting duplicate disposition found; overlapping entries agree but differ in scope	Low	Normalize/cross-reference; retain evidence and tests	RELEASE READY
G060-20	Policy definition	I046,I052,I055-I059	50 POLICY PENDING proposition lines	Baseline/strict/profile applicability not yet frozen in one release manifest	Critical claim definition	Select or explicitly exclude each pending row for the intended release claim	POLICY PENDING
G060-21	Conformance design	I052,I059	652-to-62 mapping, phases, levels and evidence schema	Design complete but no end-to-end pilot result set demonstrates decision process	High release assurance	Execute pilot suite on reference CP/M and one independent/new implementation	ADDITIONAL INVESTIGATION REQUIRED
G060-22	Evidence preservation/reproducibility	I001-I059 completion audits	Sources, binaries, transcripts, images and hashes	Strong archive, but a release-wide immutable manifest/result bundle is not yet defined	Medium release process	Create audited release evidence index after normalization/policy selection	POLICY PENDING
G060-23	Extension/personality separation	I055-I058	652-row responsibility/personality/extension maps	Conceptually complete; no implementation evidence can yet demonstrate isolation	Not a specification gap	Validate later against implementations; do not add runtime requirement	NOT REQUIRED
G060-24	Overall normative specification	I001-I059	All reports, ledger, maps, corpus and conformance design	Semantics largely closed, but editorial, policy, differential and pilot gates remain	Critical	Release as review candidate only; withhold normative high-confidence ecosystem 1.0	ADDITIONAL INVESTIGATION REQUIRED
