entry	title	source_section	disposition	conformance	validation_class	primary_tests
0012	Second default FCB at 006Ch	001 - CP/M 2.2 Transient Program Entry Environment	POLICY PENDING	Diagnose separately from first-FCB behavior until policy or stronger documentary/software-dependency evidence resolves the disposition.	profile gate	MEM-001,MEM-005,CCP-003
0016	Default FCB unopened control fields	001 - CP/M 2.2 Transient Program Entry Environment	POLICY PENDING	Test the initialized fields separately from filename parsing.	profile gate	MEM-001,MEM-005,CCP-003
0019	Leading blank in command tail	001 - CP/M 2.2 Transient Program Entry Environment	POLICY PENDING	Test independently from case conversion and termination.	profile gate	MEM-001,MEM-005,CCP-003
0020	Uppercase command-tail representation	001 - CP/M 2.2 Transient Program Entry Environment	POLICY PENDING	Test mixed-case command input where the reference environment permits it.	profile gate	MEM-001,MEM-005,CCP-003
0021	NUL after counted command tail	001 - CP/M 2.2 Transient Program Entry Environment	POLICY PENDING	Verify the byte immediately following the counted tail independently from the tail count itself.	profile gate	MEM-001,MEM-005,CCP-003
0069	Exact logical-column update rules	003 - CP/M 2.2 BDOS Console Output and String Output Semantics	POLICY PENDING	Keep exact column-update rules diagnostic until later evidence or policy resolves them.	profile gate	BDOS-CON-001
0070	LF resets DRI logical column	003 - CP/M 2.2 BDOS Console Output and String Output Semantics	POLICY PENDING	Diagnose independently from required TAB-stop behavior.	profile gate	BDOS-CON-001
0071	CR does not reset DRI logical column	003 - CP/M 2.2 BDOS Console Output and String Output Semantics	POLICY PENDING	Diagnose independently from required output of the CR byte.	profile gate	BDOS-CON-001
0072	Pending-key buffering during formatted output	003 - CP/M 2.2 BDOS Console Output and String Output Semantics	POLICY PENDING	Requires a deterministic input harness before policy is resolved.	profile gate	BDOS-CON-001
0073	Ctrl-C behavior after output pause	003 - CP/M 2.2 BDOS Console Output and String Output Semantics	POLICY PENDING	Resolve with a deterministic keyboard-input harness.	profile gate	BDOS-CON-001
0086	Exact function 11 ready result	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics	POLICY PENDING	Until resolved, test zero versus nonzero readiness separately from the exact nonzero value.	profile gate	BDOS-CON-002,BDOS-CON-005
0087	Function 11 pending-byte retention	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics	POLICY PENDING	Keep this behavior diagnostic pending compatibility-policy or software-dependency evidence.	profile gate	BDOS-CON-002,BDOS-CON-005
0088	DRI function 6 ignores retained pending byte	004 - CP/M 2.2 BDOS Direct Console IO and Console Status Semantics	POLICY PENDING	Diagnose independently from the documented function-6 input contract until policy is resolved.	profile gate	BDOS-CON-002,BDOS-CON-005
0103	Function-1 Ctrl-P printer-echo state change	005 - CP/M 2.2 BDOS Console Input and Echo Semantics	POLICY PENDING	Diagnose whether function-1 Ctrl-P changes printer-echo state; do not require DRI's no-toggle behavior until policy is resolved.	profile gate	BDOS-CON-003
0104	Function 1 consumes function-11-retained input	005 - CP/M 2.2 BDOS Console Input and Echo Semantics	POLICY PENDING	Retain an ordinary byte through function 11, then call function 1 and diagnose the returned byte, echo, and BIOS-input call count pending policy resolution.	profile gate	BDOS-CON-003
0125	Function 10 Ctrl-P exclusion and printer-echo toggle	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics	POLICY PENDING	Diagnose exclusion and state change independently pending policy resolution.	profile gate	BDOS-CON-004
0126	Function 10 post-Ctrl-P echo state	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics	POLICY PENDING	Diagnose whether subsequent echo follows the changed state.	profile gate	BDOS-CON-004
0127	Function 10 seven-bit input masking	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics	POLICY PENDING	Test high-bit input diagnostically pending policy resolution.	profile gate	BDOS-CON-004
0128	Function 10 exact correction-display bytes	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics	POLICY PENDING	Compare exact display streams diagnostically.	profile gate	BDOS-CON-004
0129	Function 10 noninitial Ctrl-C behavior	006 - CP/M 2.2 BDOS Buffered Console Input and Line Editing Semantics	POLICY PENDING	Test noninitial Ctrl-C diagnostically pending policy resolution.	profile gate	BDOS-CON-004
0154	Unavailable-drive presentation	007 - CP/M 2.2 BDOS Disk Reset Selection and Drive-State Query Semantics	POLICY PENDING	Treat exact behavior as diagnostic pending policy resolution.	profile gate	BDOS-STATE-002
0155	Function 13 user-number preservation	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics	POLICY PENDING	Diagnose until policy or dependency evidence resolves the requirement.	profile gate	BDOS-FILE-001,BDOS-FILE-002
0183	Investigation 008 finding	008 - CP/M 2.2 FCB File Identification and Open-Close Semantics	POLICY PENDING	Snapshot all FCB bytes after failed open and diagnose preservation without requiring it.	profile gate	BDOS-FILE-001,BDOS-FILE-002
0233	Exact EOF code	010 - CP/M 2.2 BDOS Sequential Read Semantics	POLICY PENDING	Decide whether BetterCP/M promises exact 01h or only the documented nonzero predicate.	profile gate	BDOS-FILE-004
0246	Physical read-error presentation	010 - CP/M 2.2 BDOS Sequential Read Semantics	POLICY PENDING	BetterCP/M must choose and document an error policy without redefining zero as failure or nonzero as success.	profile gate	BDOS-FILE-004
0276	Exact write failure codes	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics	POLICY PENDING	Decide whether BetterCP/M guarantees these exact distinctions.	profile gate	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011
0276	Exact write failure codes	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics	POLICY PENDING	Decide whether BetterCP/M guarantees these exact distinctions.	profile gate	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011
0283	Physical write-error presentation	011 - CP/M 2.2 BDOS Sequential Write and File Creation Semantics	POLICY PENDING	Select a documented BetterCP/M policy while preserving ordinary zero/nonzero semantics.	profile gate	BDOS-FILE-002,BDOS-FILE-005,BDOS-FILE-011
0309	Wildcard Rename	012 - CP/M 2.2 BDOS File Deletion and Rename Semantics	POLICY PENDING	Decide whether BetterCP/M promises this de facto behavior.	profile gate	BDOS-FILE-006,BDOS-FILE-007,BDOS-FILE-008,BDOS-FILE-009
0314	Delete/Rename physical errors	012 - CP/M 2.2 BDOS File Deletion and Rename Semantics	POLICY PENDING	Resolve in a dedicated error/protection investigation.	profile gate	BDOS-FILE-006,BDOS-FILE-007,BDOS-FILE-008,BDOS-FILE-009
0346	Allocation-full exact code	012 - CP/M 2.2 BDOS File Deletion and Rename Semantics	POLICY PENDING	Record allocation-full behavior separately pending policy.	profile gate	BDOS-FILE-006,BDOS-FILE-007,BDOS-FILE-008,BDOS-FILE-009
0354	Physical random-I/O errors	012 - CP/M 2.2 BDOS File Deletion and Rename Semantics	POLICY PENDING	Defer BIOS/media-error exactness to dedicated policy tests.	profile gate	BDOS-FILE-006,BDOS-FILE-007,BDOS-FILE-008,BDOS-FILE-009
0385	Fatal presentation	012 - CP/M 2.2 BDOS File Deletion and Rename Semantics	POLICY PENDING	Diagnose DRI fatal presentation pending the selected BetterCP/M policy.	profile gate	BDOS-FILE-006,BDOS-FILE-007,BDOS-FILE-008,BDOS-FILE-009
0387	Exact diagnostic text	012 - CP/M 2.2 BDOS File Deletion and Rename Semantics	POLICY PENDING	Diagnose exact DRI read-only strings pending compatibility policy.	profile gate	BDOS-FILE-006,BDOS-FILE-007,BDOS-FILE-008,BDOS-FILE-009
0389	Automatic media-change protection	015 - CP/M 2.2 BDOS Physical Disk Error and Error Presentation Semantics	POLICY PENDING	Defer automatic media-change read-only detection to dedicated policy testing.	profile gate	ERROR-002,ERROR-003,ERROR-004
0411	Exact Bad Sector text	015 - CP/M 2.2 BDOS Physical Disk Error and Error Presentation Semantics	POLICY PENDING	Diagnose exact Bad Sector wording pending compatibility policy.	profile gate	ERROR-002,ERROR-003,ERROR-004
0412	Accepted ignore characters	015 - CP/M 2.2 BDOS Physical Disk Error and Error Presentation Semantics	POLICY PENDING	Test carriage return and DRI non-control-C behavior pending strict ignore-character policy.	profile gate	ERROR-002,ERROR-003,ERROR-004
0413	Structured physical-error extension	016 - CP/M 2.2 BDOS Console I/O and System Interface Semantics	POLICY PENDING	Keep any structured physical-error API optional and distinct from strict CP/M presentation.	profile gate	BDOS-CON-001,BDOS-CON-005,BDOS-STATE-001
0435	Function 37 compatibility status	018 - CP/M 2.2 BDOS Character Devices and IOBYTE Semantics	POLICY PENDING	If adopted, test each vector effect independently and require no function-specific result.	profile gate	BIOS-003,COMM-002
0446	Active IOBYTE routing policy	018 - CP/M 2.2 BDOS Character Devices and IOBYTE Semantics	POLICY PENDING	Define and test strict and/or inert configured behavior.	profile gate	BIOS-003,COMM-002
0472	LISTST result policy	020 - CP/M 2.2 BIOS Jump Table, Boot, and Character-I/O Semantics	POLICY PENDING	Defer exact value tests until documentary/software- dependency evidence sets policy.	profile gate	BIOS-001,BIOS-002,BIOS-005
0476	CCP prompt presentation freedom	021 - CP/M 2.2 CCP Command Acquisition, Parsing, and Dispatch Semantics	POLICY PENDING	Separate semantic prompt tests from byte-exact presentation policy.	profile gate	CCP-001,CCP-002
